frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim
frame447__s160747,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s160747_rank447.jpg,processed_rep67__cam6_s160747_rank447.jpg,FALSE,rep67,cam6,160747,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame448__s161108,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s161108_rank448.jpg,processed_rep67__cam6_s161108_rank448.jpg,FALSE,rep67,cam6,161108,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame449__s161468,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s161468_rank449.jpg,processed_rep67__cam6_s161468_rank449.jpg,FALSE,rep67,cam6,161468,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame450__s161829,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s161829_rank450.jpg,processed_rep67__cam6_s161829_rank450.jpg,FALSE,rep67,cam6,161829,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame451__s162189,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s162189_rank451.jpg,processed_rep67__cam6_s162189_rank451.jpg,FALSE,rep67,cam6,162189,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame452__s162549,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s162549_rank452.jpg,processed_rep67__cam6_s162549_rank452.jpg,FALSE,rep67,cam6,162549,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame453__s162910,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s162910_rank453.jpg,processed_rep67__cam6_s162910_rank453.jpg,FALSE,rep67,cam6,162910,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame454__s163270,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s163270_rank454.jpg,processed_rep67__cam6_s163270_rank454.jpg,FALSE,rep67,cam6,163270,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame455__s163631,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s163631_rank455.jpg,processed_rep67__cam6_s163631_rank455.jpg,FALSE,rep67,cam6,163631,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame456__s163991,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s163991_rank456.jpg,processed_rep67__cam6_s163991_rank456.jpg,FALSE,rep67,cam6,163991,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
