n_keypoints,frames,prop_kp,rep_id,toxic,sl,logsl,moved:cos_theta_pi,moved:cos_2theta,shape,scale,kappa1,kappa2,on_toxic,ava_mean_toxin,ava_switch_toxin,var_toxic_12,var_toxic_24,sl_mean_obs,sl_kurt_obs,prob_move_obs,n_valid_frames
781,1114,0.7010771992818672,39,-0.19599605425283412,0.005154212816806733,0.8331188900837811,-0.21236894337908374,-0.0660249996299868,1.2559475436475083,199.68447478542436,-0.1810174661760044,0.055147905215064325,0.3892445582586428,0.4562518193294415,0.181064060743076,0.1718141258900504,0.2131870004896858,41.60780794997581,33.42176938500638,0.07426376440460948,781
461,640,0.7203125,40,-0.7416699833116056,0.0010544526241603313,2.323208133633161,-0.5282105715094412,-0.17911541144002927,2.893300904900994,46.35739562329128,0.21179680703948944,0.12334940216786103,0.1648590021691974,0.322509988257041,0.16563654382739168,0.3532481679540503,0.33105428819850946,25.19670364850043,70.02013931913199,0.05422993492407809,461
991,1182,0.8384094754653131,41,-0.5482925628010762,0.0017813807994165318,3.35988129908791,-0.8111320979314826,0.14870976392758634,4.018672744709283,22.32013358994203,0.2597012595223439,0.19248813252922642,0.20887991927346114,0.33166538194466705,0.08865719174852081,0.42617458993605783,0.5380435022512581,14.138163407865013,140.4169532155647,0.015136226034308779,991
995,1179,0.8439355385920272,42,-0.018877068802190228,0.002869864232234235,4.307605046857314,-0.8128806520166627,-0.09915042972313562,5.221230625300005,13.75702259624097,0.16195043682706112,-0.018393095137234514,0.003015075376884422,0.06494736842105263,0.021228070175438596,0.0024186130167376963,0.0014170590820503724,12.092191049829578,114.29012863268775,0.009045226130653266,995
1035,1186,0.872681281618887,44,-0.16372024958330927,-0.0035387238515804526,4.863865312653604,-1.2194159079692761,-3.3237748219191237,5.4818365739236246,21.592588586695825,-0.28298473465239804,-0.3999863656639291,0.12077294685990338,0.29011156560670986,0.032114894636611,0.050221949547078565,0.046740944522057036,14.449596321173344,66.77913700584674,0.018357487922705314,1035
698,919,0.7595212187159956,45,0.043876090683240665,0.005564012988547423,0.9368616950493549,-0.31736444082378473,-0.08535127828701997,1.3941723313710161,165.21540327573499,-0.01261249055964242,0.06003595880315954,0.20916905444126074,0.4812154139358627,0.18287440198064192,0.36001421450979515,0.3489054865001275,39.36824330281748,37.515031921407825,0.07306590257879657,698
808,1174,0.6882453151618398,46,0.07961251106595686,0.003666419376530159,0.8458101076474962,-0.5060409630155044,0.04027563693518004,1.1584232287464127,465.9976899509837,-0.34024953321016843,0.1454319081140763,0.5074257425742574,0.49824384671647065,0.1555572298200086,0.1949116719220644,0.21589369007547515,53.76031081395985,20.944052507939872,0.0891089108910891,808
365,640,0.5703125,47,0.0428973167751583,0.0043491382130317075,1.0859402615212246,-0.15039005077666667,-0.0483909548073104,1.5832347545129322,88.83826983194734,0.12378097710420127,0.018324269407842222,0.3232876712328767,0.48508052844374144,0.2027397348954931,0.7643069537161098,0.8287672588745524,31.869996491926734,51.16608136121064,0.06575342465753424,365
229,245,0.9346938775510204,48,-0.2790395971038473,0.0027906020021619886,0.8824552983976719,-0.5011916258354768,-0.2765360308053007,1.355462149134112,123.34689651666143,0.17400877511510482,0.2744945661155283,0.30131004366812225,0.39545852023824407,0.17824557389300874,0.8520960209778877,NA,43.418221191533874,43.973072000168784,0.0611353711790393,229
808,929,0.8697524219590959,49,-0.049606647928618935,0.008672073919128708,0.9503368668677354,-0.18736637766835534,-0.03568558142015386,1.494259867354396,78.98366371138765,-0.18736637766835534,-0.015732355610763873,0.06188118811881188,0.2402425800042767,0.03937002293985183,0.17334752490639888,0.18723910193267712,25.498201292357123,97.91668658439647,0.0297029702970297,808
992,1203,0.8246051537822111,50,0.4105207755344685,0.006901025237559107,1.4667719091970501,-0.383969976538441,-0.22601339713495708,1.99136439173859,76.30181104260845,0.138210115483983,0.16107341862118765,0.5483870967741935,0.5573006951289349,0.14391980817576458,0.17622370324972453,0.19908795952148628,26.219502097247958,59.36245650412458,0.046370967741935484,992
