rep_id,beta,syn_id,cam_id,arena_id,mean_trt,var_trt,low_diet,high_diet,assemble_date,date_start,time_start,cat_pre_wt,date_end_camera,time_end_camera,cat_post_wt,cat_dead_cam_end,pupation_date,pupal_weight,pupated_cam_end,eclosure_date,sex,death_date,deformed_adult,notes,temperature,session_id,error,premature_camera_end,camera_cutoff,surv_time,RGR,pupated,eclosed,time_to_pupation,time_to_eclosure,adult_time,pupation_time,repID,area_herb,var_toxic_12,shape_1,scale_1,shape_2,scale_2,shape_3,scale_3,shape_4,scale_4,kappa1_1,kappa2_1,kappa1_2,kappa2_2,kappa1_3,kappa2_3,kappa1_4,kappa2_4,on_toxic,sl_mean_obs,ta_mean_obs,sl_kurt_obs,ta_kurt_obs,prop_explore,s1.less_toxic.est,s2.less_toxic.est,s1.less_toxic.se,s2.less_toxic.se,mean_toxic_conc,observed_dead
83,0,beta0_id20,22,22,1 mg/g,high_var,0 mg/g,2 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0313,2023-12-09T05:00:00Z,18:47:00,0.2534,0,2023-12-10T05:00:00Z,0.2335,0,2023-12-30T05:00:00Z,male,2024-01-08T05:00:00Z,1,NA,22,3,0,0,441165,35,0.017102503778173076,1,1,6,26,9,20,rep83,18709,0.3298674781911083,0.7015166331414393,21.26074311063224,1.0457389785976172,12.236462035628628,1.0763540525794886,5.111521848774591,1.2488956313179027,4.325010116887161,0.3557484609915106,0.07549472413709157,0.2518759344673154,0.16785924547127212,0.5820430412972506,0.23632423995521828,0.3684422793483243,0.2661886395503558,0.26141450313339304,9.482336636758305,0.02645509165986622,221.6841280314019,1.5667427249047945,0.393331304443962,0.7096738038081544,-0.2904480335948404,0.31722643530717815,0.3628510577898369,0.30969052327756696,1
84,-5,beta-5_id24,23,23,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0457,2023-12-09T05:00:00Z,18:47:00,0.2018,0,2023-12-13T05:00:00Z,0.2397,0,2023-12-30T05:00:00Z,male,2024-01-07T05:00:00Z,0,NA,22,3,0,0,441154,34,0.012145390295919448,1,1,9,26,8,17,rep84,7250,0.12517398353366005,0.5285993423583281,62.790099104085385,0.752939974844187,55.90301559979638,1.6376969326685438,3.442665080214923,1.630722930952655,3.048431161186857,0.03714370944324979,0.108474872982817,0.07778893727012615,0.1687020146239232,0.35374622601625483,0.42584344676042546,0.27938722059071014,0.23375052138680544,0.3359073359073359,14.254544570899215,-0.15486630669147117,170.95114098349222,1.663807030246222,0.2784784158493982,0.7156556640524478,0.29415858562528924,0.2463612069366864,0.33068918237715483,1.2420689655172412,1
85,-5,beta-5_id22,24,24,1 mg/g,high_var,0 mg/g,2 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.033,2023-12-09T05:00:00Z,18:47:00,0.2688,0,2023-12-11T05:00:00Z,0.2358,0,2023-12-30T05:00:00Z,female,2024-01-07T05:00:00Z,0,NA,22,3,0,0,441165,34,0.017152460519415408,1,1,7,26,8,19,rep85,15883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692942139394321,1
86,const,NA,25,25,0 mg/g,constant,0 mg/g,0 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0242,2023-12-09T05:00:00Z,18:47:00,0.3127,0,2023-12-11T05:00:00Z,0.2879,0,2023-12-30T05:00:00Z,female,2024-01-17T05:00:00Z,0,NA,22,3,0,0,441155,44,0.020925923112725814,1,1,7,26,18,19,rep86,13586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
87,const,NA,26,26,1 mg/g,constant,1 mg/g,1 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0534,2023-12-09T05:00:00Z,18:47:00,0.224,0,2023-12-13T05:00:00Z,0.2247,0,2023-12-30T05:00:00Z,male,2024-01-15T05:00:00Z,0,escaped and returned between s6128 - s150296,22,3,0,0,441154,42,0.011725517016946086,1,1,9,26,16,17,rep87,22874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
88,const,NA,27,27,0.5 mg/g,constant,0.5 mg/g,0.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0668,2023-12-09T05:00:00Z,18:47:00,0.2569,0,2023-12-09T05:00:00Z,0.2297,1,2023-12-26T05:00:00Z,female,2024-01-07T05:00:00Z,0,NA,22,3,0,0,369433,34,0.011015269103774605,1,1,5,22,12,17,rep88,28249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1
89,const,NA,28,28,1 mg/g,constant,1 mg/g,1 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.018,2023-12-09T05:00:00Z,18:47:00,0.0958,0,2023-12-15T05:00:00Z,0.2822,0,2024-01-03T05:00:00Z,female,2024-01-09T05:00:00Z,0,NA,22,3,0,0,441157,36,0.013672271449480581,1,1,11,30,6,19,rep89,4612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
90,const,NA,29,29,2 mg/g,constant,2 mg/g,2 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0347,2023-12-09T05:00:00Z,18:47:00,0.1504,0,2023-12-14T05:00:00Z,0.2432,0,2023-12-31T05:00:00Z,male,2024-01-07T05:00:00Z,0,NA,22,3,0,0,441163,34,0.011993120277194434,1,1,10,27,7,17,rep90,5611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
91,const,NA,30,30,1.5 mg/g,constant,1.5 mg/g,1.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0466,2023-12-09T05:00:00Z,18:47:00,0.2046,0,2023-12-13T05:00:00Z,0.1904,0,NA,NA,2024-01-07T05:00:00Z,0,"camera stopped prematurely, failed pupation",22,3,0,1,26671,9,0.012098593259255221,1,0,9,NA,NA,NA,rep91,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0
92,5,beta5_id28,1,1,1 mg/g,high_var,0 mg/g,2 mg/g,2023-12-11T05:00:00Z,2023-12-11T05:00:00Z,16:38:00,0.0197,2023-12-16T05:00:00Z,18:00:00,0.144,0,2023-12-21T05:00:00Z,0.2387,0,2024-01-07T05:00:00Z,female,2024-01-17T05:00:00Z,1,NA,21,4,0,0,436829,37,0.016389958779171033,1,1,10,27,10,17,rep92,3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05797101449275362,1
93,0,beta0_id25,2,2,1 mg/g,high_var,0 mg/g,2 mg/g,2023-12-11T05:00:00Z,2023-12-11T05:00:00Z,16:38:00,0.0167,2023-12-16T05:00:00Z,18:00:00,0.1083,0,2023-12-21T05:00:00Z,0.2847,0,2024-01-07T05:00:00Z,female,2024-01-19T05:00:00Z,0,NA,21,4,0,0,436826,39,0.015403705860348,1,1,10,27,12,17,rep93,5143,0.5825079687841028,0.9886422993407796,204.8435830286188,0.9856327648083496,269.26730061048124,0.8782985028901996,6.584325037767548,1.1873102237427209,6.499903910980293,-0.10030880792841218,-0.1655384780284487,-0.20126391928861223,-0.12343104200314256,0.24639473424891709,0.18586075254690865,0.32764720533509384,0.18588733800104332,0.39576719576719577,34.64502286103542,-0.04576928130823865,37.973195804992365,1.6366077630069664,0.14385154449899498,0.06302229784330965,0.07456543249595167,0.23221892752146156,0.2152822041950098,0.4378767256465098,1
94,0,beta0_id27,3,3,1 mg/g,high_var,0 mg/g,2 mg/g,2023-12-11T05:00:00Z,2023-12-11T05:00:00Z,16:38:00,0.006,2023-12-16T05:00:00Z,18:00:00,0.0681,0,2023-12-23T05:00:00Z,0.2691,0,2024-01-14T05:00:00Z,male,2024-01-22T05:00:00Z,1,NA,21,4,0,0,436834,42,0.020015526590997625,1,1,12,34,8,22,rep94,4017,0.3914646307834048,0.6978072606746654,102.38977440682326,0.65176218365742,126.25789813548292,1.918818575323482,2.8575069942988405,1.5626796182906677,3.817010960010073,-0.6544395551528281,0.10048785344774214,-0.12173670272664532,0.47613607720809664,0.7154181933675487,0.13073879922753404,0.3952494668562456,0.31466476677885064,0.2803347280334728,20.050410816148883,-0.04425606819143948,73.85860856495782,1.55509126598632,0.2219406639733584,-0.3378144907478092,-1.7241090125108811,0.2664103678631048,0.4493738052835206,0.08563604680109534,1
95,0,beta0_id32,4,4,1 mg/g,high_var,0 mg/g,2 mg/g,2023-12-11T05:00:00Z,2023-12-11T05:00:00Z,16:38:00,0.1344,2023-12-15T05:00:00Z,10:04:00,0.2732,0,2023-12-15T05:00:00Z,0.2499,1,2024-01-04T05:00:00Z,female,2024-01-09T05:00:00Z,0,NA,21,4,0,0,265631,29,0.007931983223342369,1,1,4,24,5,20,rep95,17035,0.16309492903016232,0.6701568451402842,-1168.512201170235,0.7269978310503371,-1178.1913635463047,0.9165717337774008,6.510182870954609,1.6456185053465304,4.406591241950628,-0.28420138696164726,0.0944236482257611,-0.1471234649220153,0.3493404088417671,0.20736567167790057,0.972151168695064,0.23231191595186407,0.2230417681900216,0.10998552821997104,44.89828402133968,0.0442954193783922,24.21999902897911,1.668500056595435,0.11575200994366865,0.18052539319270988,-0.6485359698711534,0.2738305454115912,0.910795899617818,0.3948341649545054,1
96,0,beta0_id29,5,5,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-12-11T05:00:00Z,2023-12-11T05:00:00Z,16:38:00,0.0086,2023-12-16T05:00:00Z,18:00:00,0.0426,0,2023-12-23T05:00:00Z,0.237,0,2024-01-09T05:00:00Z,female,2024-01-22T05:00:00Z,0,NA,21,4,0,0,436825,42,0.013183949876538282,1,1,12,29,13,17,rep96,1432,0.0772133516647601,0.481716710575849,284.86430043542975,0.6645071382852531,139.82417578258662,3.174364626809889,1.5067110332145055,1.712629327894709,3.084945296073264,0.19383746308732247,0.31087115972359786,0.11359220948632932,0.5570556797374785,0.5794064757941149,0.3008343303994378,0.41959134471983345,0.22870447019725737,0.1327683615819209,17.923815155087294,-0.0805402142430275,115.60067865132956,1.519184564952639,0.22741915754369288,0.30148251716015,-0.26350476503457254,0.31120263921941477,0.7222165021701118,0.5565642458100558,1
