var,only,cat_size,exclude,val
beta_numeric_scale,mean_toxic_conc_scale,-2,NA,-0.0686890251445261
var_high,mean_toxic_conc_scale,-2,NA,0.11986505664818367
beta_numeric_scale,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,NA,-2,NA,0.5417766140860163
var_high,NA,-2,NA,-0.20450060077715593
beta_numeric_scale,sl_mean_obs_log_scale,2,NA,-1.161432070259348
var_high,sl_mean_obs_log_scale,2,NA,-1.2834818650446675
beta_numeric_scale,area_herb_log_scale,2,NA,0
var_high,area_herb_log_scale,2,NA,-0.23872626000000002
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.12258283506549504
var_high,mean_toxic_conc_scale,2,NA,0.3539125661194157
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-1.038849235193853
var_high,NA,2,NA,-1.168295558925252
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.6104656392305425
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.8487964374253394
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.52443078
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.0686890251445261
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.11986505664818367
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,0.5417766140860163
var_high,NA,-2,ava_mean_toxin_scale,-0.20450060077715593
beta_numeric_scale,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-1.161432070259348
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-1.2834818650446675
beta_numeric_scale,area_herb_log_scale,2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,-0.23872626000000002
beta_numeric_scale,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.12258283506549504
