var,target,only,cat_size,exclude,val
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-0.6789685523811226
var_high,sl_mean_obs_log_scale,NA,2,NA,-0.9542372950428122
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0.08493896590287842
var_high,area_herb_log_scale,NA,2,NA,0.11937508560985577
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.18950016681715615
var_high,mean_toxic_conc_scale,NA,2,NA,-1.4780561601274538
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.4366726094416639
var_high,var_toxic_12_scale,NA,2,NA,1.2962851203607146
beta_numeric_scale,select_scale,NA,2,NA,0.40094789
var_high,select_scale,NA,2,NA,0.77190661
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.23390586
area_herb_log_scale,RGR_scale,NA,-2,NA,0.3086
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.1812
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.1299993530812602
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.23390586
area_herb_log_scale,RGR_scale,NA,2,NA,0.3086
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.1812
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.1299993530812602
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.1677514379708362
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.45235082691674017
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,-0.07745178372662079
var_high,RGR_scale,area_herb_log_scale,-2,NA,0.2088529245335255
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,0.029027433592145473
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.11830695083012414
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.009040388897929848
var_high,RGR_scale,select_scale,-2,NA,0.07668021505313301
