n_keypoints,frames,prop_kp,rep_id,sl,logsl,toxic:start_toxicno,toxic:start_toxicyes,moved:cos_theta_pi,moved:cos_2theta,shape,scale,kappa1,kappa2,on_toxic,ava_mean_toxin,ava_switch_toxin,ud_estimate,ud_lower,ud_upper,var_toxic_12,var_toxic_24,sl_mean_obs,sl_kurt_obs,prob_move_obs,n_valid_frames
1031,1186,0.8693086003372681,44,-0.0026804788106702636,4.9617628861842,-0.33451544359921104,0.7965744771583583,-2.7212180031176856,-2.222205307948567,5.581826627013835,21.725982239714796,-0.4773810899175097,-0.04569401170703191,0.12027158098933075,0.2833101756999881,0.03348155626493001,73649.38096505977,69257.85729134655,78261.93580810989,0.049417319124256925,0.04586334908560012,14.308036686829704,67.3659020300176,0.01842870999030068,1031
698,919,0.7595212187159956,45,0.0062096436290715665,0.9401273378159516,-0.35961985793899814,0.2305049713425111,-0.34650354359036206,-0.06885340412849562,1.3974379741376128,184.94291785938375,-0.04175159332621975,0.07653383296168388,0.20916905444126074,0.48302544203106396,0.1824541602314072,595674.2537210865,552528.5968340782,640261.1374091193,0.36001421450979515,0.3489054865001275,39.36824330281748,37.515031921407825,0.07306590257879657,698
791,1174,0.6737649063032368,46,0.004718557695911908,0.8152189620326872,0.29380617507868734,-0.14524083216634734,-0.505793021328042,0.08855926123342506,1.1350770061630224,513.8922091784614,-0.3340010262196338,0.11989312050507783,0.5082174462705437,0.49748999965011614,0.14955210554868786,1575996.8155343405,1468393.4606918585,1687703.7199082419,0.19333251120696213,0.2139140154971994,47.99393574787448,24.552598457984434,0.08217446270543616,791
365,640,0.5703125,47,0.00481272592563846,1.0257894764065703,0.14805552337725184,-0.011536234448110584,-0.20885940707825956,-0.039407363120949945,1.5230839693982778,92.65416976346715,0.06531162080260838,0.027307861094202676,0.3232876712328767,0.48243786574332936,0.2080561918301447,468019.0272072301,421444.3281244902,518029.0832162891,0.7643069537161098,0.8287672588745524,31.869996491926734,51.16608136121064,0.06575342465753424,365
193,245,0.7877551020408163,48,6.520744869084081e-4,2.120818025354342,0.22755306937163108,-1.957614332481843,-0.3454744709793081,-0.04851176078211586,2.8334809056848176,28.95107880337131,-0.1046224686926168,-0.04851176078211586,0.25906735751295334,0.34785488628035194,0.10612134764980674,53900.052379557404,46536.9178636333,61822.03009930234,0.7901382666088549,NA,20.252768310712266,25.57503852255512,0.031088082901554404,193
800,929,0.8611410118406889,49,0.016020432444893293,1.3216070290613735,-0.2823716197461814,0.4703706983053982,-0.07416602229055208,-0.06656904761555422,2.023801505864228,45.541211642411255,-0.07416602229055208,0.03048456986539902,0.055,0.20219936020919024,0.03006215673601039,273914.8980595711,255276.45615796538,293186.80677454453,0.16498436269691188,0.18281998019437293,18.489892389600545,56.38159899553023,0.02375,800
812,1203,0.6749792186201163,50,0.006683300412103798,1.2603777269646155,0.2843983143289126,0.10993487503060045,-0.4155030929424411,-0.201752089935862,1.7737738034133064,89.03053698373665,0.04346463445449472,0.17678188309855628,0.44950738916256155,0.5084763501526731,0.1615189148999252,677286.442382663,631549.7201417063,724221.2555954964,0.2211324792042203,0.24007702015967025,28.654403526457596,52.135097162681184,0.04926108374384237,812
835,1203,0.6940980881130507,51,0.0015881686701469608,3.4072659713231856,0.10677280965460083,-0.4314732365194806,-0.0598530666094562,-0.760648593789836,4.067058254618441,20.321076735199583,-0.024724803515973608,0.009418831390737514,0.09820359281437126,0.2977718659354934,0.09114437811819684,78820.71132061783,73637.97180904527,84256.32857817244,0.040936490714296704,0.03230833163214795,12.990280675616509,157.1771722857396,0.016766467065868262,835
514,919,0.55930359085963,52,-0.004678647413991752,3.518801391348481,-0.6365328286864084,-0.8757447849179933,-0.46136088527596375,-0.794526269518151,4.292202253705478,20.44280029393311,0.3634936943746232,0.6956123736772679,0.05058365758754864,0.28811722662350037,0.01855674393239936,18653.427253943137,17064.564046237065,20297.32209706179,0.11625792695988323,0.08987268297482016,17.48121419885986,143.65837057370734,0.01556420233463035,514
645,939,0.6869009584664537,53,0.006484080977110286,2.192147658928216,-0.17693165773137037,-0.7618293328107872,-0.4104335519564084,-0.004990587749821591,2.8082893684616748,39.42234711337282,0.1296918984636911,-0.004990587749821591,0.15193798449612403,0.38204304522846416,0.10292431419572086,129884.77908986657,120038.48202058411,140093.69040058125,0.3828019716198078,0.37750617762674965,19.34959613768694,49.461928588414466,0.03875968992248062,645
622,868,0.716589861751152,54,0.007165954698120158,1.1793718085849645,-0.7818458697996568,-0.07391375973378943,-0.5703963475624261,0.0660929332608595,1.6127544154882725,141.63560111470417,-0.20524254444625628,0.07643706693524858,0.05787781350482315,0.2953627955329996,0.046964571397376725,440314.9496321541,406477.14497934986,475871.58930389164,0.022560504740154117,0.01632720496625245,30.458825215080157,47.76571347511925,0.04180064308681672,622
781,1159,0.6738567730802416,55,0.0070274821663893474,0.9286655540009908,-0.019954654481560027,-0.0041361475310050366,-0.1879699198073477,-0.24414200717051182,1.5411499350993885,85.12728016685081,0.11714824667110399,0.19250139654323034,0.47759282970550576,0.47422003078164904,0.16938635642126176,746506.3325796846,693673.7675529175,799616.8694131547,0.22729116752191375,0.24140986364094616,32.63372338824659,49.20566717244942,0.04353393085787452,781
1017,1224,0.8308823529411765,62,0.012819315078007728,1.0997691725933896,-0.689481730448163,0.05194089012596517,-0.19510303995660777,-0.03261589983929886,1.685950115004792,67.52950610038386,-0.19499225384132352,0.16470364933539297,0.2586037364798427,0.39320383386797053,0.09694447079675872,413697.9318422431,388753.22144148237,439001.5547139588,0.5144634466645353,0.5094819901230969,21.218296242408087,89.99686707522191,0.02654867256637168,1017
1083,1224,0.8848039215686274,63,0.00860047328098987,1.0880837568242048,-0.3384631933261388,0.119792745337805,-0.1897108556565495,-0.06753500344465195,1.539313011984858,112.77587343675042,-0.04709574853184087,0.0839771497138518,0.44136657433056325,0.5188314848734115,0.15647885061044625,960657.5015572117,904994.2135184996,1019512.6217183768,0.6349905364566869,0.7645636651225431,25.836408161656834,51.943406179965045,0.038781163434903045,1083
932,1220,0.7639344262295082,64,0.007235936602288731,1.2146207669316618,0.004220372016709449,0.23776420240672008,-0.3903038851820624,0.08261650071512613,1.6490433053872493,99.05849700009269,-0.3903038851820624,0.15763522376585942,0.2907725321888412,0.3998715052644084,0.14819480523207199,1330136.0092308684,1245707.0520268464,1417394.8318294124,0.10546449557835394,0.11596062858367759,25.06050935135319,57.64249025077276,0.03540772532188841,932
954,1220,0.7819672131147541,65,0.0039152605694761896,1.1891883754505035,1.1265040664492947,-0.10784195584611049,-1.1247927229085208,-0.7925213099884123,1.5241924491136414,643.1678174787337,0.12881303352497264,0.48383496994676656,0.4381551362683438,0.5831152973568022,0.1415703350722231,288308.80513482634,270341.93611053465,306944.2874909631,0.1391714917272892,0.18863102500201234,61.23081071192284,13.432659913283887,0.1069182389937107,954
736,1219,0.6037735849056604,66,-0.03235070729071556,7.239023742368703,-0.5540363061241653,-1.9420160786443228,-0.9411944143087655,-0.2973193050566653,8.065659606144035,7.872228811346994,-0.1712708216385832,0.10022315782238772,0.10054347826086957,0.24036618144047786,0.05130890078358001,153767.3296446912,142860.22254185128,165065.07535155784,0.29150113184296184,0.4304856314283439,8.731422949441551,81.6796046069442,0.002717391304347826,736
373,1221,0.30548730548730546,67,0.007979471167105755,0.636565651361449,-1.5283267877673328,-0.44995816008432743,-0.9801984720638975,0.18604491749466717,1.0328108936690121,1034.2891187937137,-0.47028862915965786,0.1889480059640137,0.09115281501340483,0.32619180703326933,0.06812894986842118,401694.8164581133,362002.16299080785,442878.26252664113,0.08671937702002125,0.09560849548331192,44.29959464440913,24.017964259247858,0.06702412868632708,373
811,1219,0.6652994257588187,68,0.002964526879417067,3.1899271592087626,0.2456213017721722,-1.0535109620122645,-0.460113459871845,-0.6555166660619351,3.9704835869287836,21.652612788616246,0.11408580399132623,0.25149233882336797,0.3563501849568434,0.5487075157463377,0.07483127611914299,336170.7940335883,313538.687841669,359626.9007529286,0.7102246717250891,0.7760148059259155,15.876436000503416,29.340039117743782,0.01972872996300863,811
694,891,0.7789001122334456,69,-0.005573264000888579,2.437785852459294,0.5528806490991797,-0.16045289356977538,-0.6223701361519043,-0.0589579427860321,2.9833792848712917,28.503818012272696,0.2866602039177194,-0.0589579427860321,0.5936599423631124,0.40083899296238,0.0560226731157408,247190.89146955693,229119.11925465724,265846.4150446305,0.4103920582246553,0.6303118605729762,18.48373056771601,156.4657820901322,0.023054755043227664,694
175,578,0.3027681660899654,70,0.0023403666800451387,0.6470175624568617,0.41155339682345166,0.10136859551193327,-0.490579610346435,-0.1460048091084202,1.0072217146983604,1318.5700399744183,-0.1239360207384601,0.42382715303667673,0.3314285714285714,0.5175628873403015,0.21089566343912872,1240280.6592519605,1063848.0200854624,1430279.0623916173,0.9045802618568088,NA,116.2162443833944,7.967720386431511,0.2057142857142857,175
1130,1224,0.923202614379085,71,0.0025390948493853142,0.7691516386409186,-0.2869610660759304,-0.004415322339915265,-0.4181965705680609,-0.07236599581780415,1.1280608227091449,514.0961113352963,-0.0943289939301395,0.19775995506467928,0.38495575221238937,0.4852609625260741,0.2260501471242179,881337.6534236665,830719.996573251,933303.199134773,0.7907560872809448,0.8362342691589342,80.07533540447577,12.412056998924907,0.16106194690265488,1130
1092,1224,0.8921568627450981,72,0.002631328882367621,3.2229781194198215,-1.0891085380876462,-17.419266869744153,-0.4862802832776606,-0.0734738782067867,3.916248749243995,21.157975116563666,0.20157031609597553,-0.0734738782067867,0.011904761904761904,0.025588943445576842,0.011465232105370655,120633.93706721567,113576.24953330151,127886.139357188,0.01753912100543886,0.01823293100922705,13.895612558334486,95.95181732773669,0.015567765567765568,1092
1101,1220,0.9024590163934426,73,0.0038870065104534028,1.5054246033939402,-1.015707931527808,-0.35285014601859194,-0.3209427995987494,-0.26867216810199984,1.9462494007726505,79.94874154094956,0.030885658040121833,0.2086996150101691,0.20072661217075385,0.22348426879513736,0.051969474498579867,1000485.8687258647,941182.924959104,1059777.3434105085,0.11867413180282801,0.13430150305992547,26.881294947139256,65.284246984315,0.05086285195277021,1101
