b,rss,scale,sl,ava_toxic,on_toxic
0,0.5,100,49.403825955618366,0.3535256013481573,0.284
5,1,100,47.644508695777354,0.2167200010439122,0.1358
-5,0.5,100,49.159282876431334,0.4080553999566046,0.3171
0,1,100,47.17205355705643,0.30266577582386645,0.1734
-5,1,100,47.27942731616429,0.29925097670169776,0.1679
5,0,10,5.579366767353839,0.644975166691835,0.6449
0,0,10,5.566872743648057,0.50450811596578915,0.502
-5,0,10,5.710416020148002,0.4634795620711491,0.4656
5,0.5,10,5.670664735972543,0.6315223292697718,0.6234
-5,0.5,10,5.717582946641213,0.32630401135816367,0.3076
0,0.5,10,5.608045746184173,0.2159426235153246,0.1983
5,1,10,5.687756421471819,0.154436,0.1442
0,1,10,5.48048709754936,0.16878332851324732,0.1381
-5,1,10,5.410923680703567,0.13774486138537287,0.1021
5,0,30,17.137583861158255,0.4530225384130398,0.4496
0,0,30,16.640186589973975,0.45502861235024145,0.453
-5,0,30,16.331148463013896,0.5383114098247529,0.5414
5,0.5,30,16.822753922204985,0.26347000389494635,0.2464
0,0.5,30,16.59180306136978,0.30743183582599193,0.2728
-5,0.5,30,16.103851037405985,0.31730254819250986,0.2686
5,1,30,15.8466100925328,0.13332580208126565,0.1032
0,1,30,15.633042710736161,0.21742881942277947,0.1495
-5,1,30,15.311257896603879,0.2171314302512695,0.1397
5,0,100,51.1349271586595,0.4865552901979268,0.4855
0,0,100,51.31821282748431,0.49968475801013307,0.5017
-5,0,100,51.239156036011316,0.5137325848591202,0.52
5,0.5,100,49.10788236979154,0.35667039578107373,0.3043
0,0.5,100,49.134571958451886,0.3740442163473334,0.3047
5,1,100,49.78333239215356,0.19445422818504074,0.1247
-5,0.5,100,49.36540571615162,0.4089974966194755,0.3157
0,1,100,47.508379525857926,0.3101251815389336,0.1889
-5,1,100,46.90558375056718,0.3449274484155398,0.1948
5,0,10,5.708899266635246,0.19464202798788513,0.1924
-5,0,10,5.664134387258494,0.4897427176568317,0.4907
0,0,10,5.740853953463779,0.4129020759049028,0.4108
5,0.5,10,5.730801518858704,0.1429130303030303,0.1364
0,0.5,10,5.614737593617575,0.23724757997593696,0.2218
-5,0.5,10,5.52568932948241,0.3522950948738002,0.3364
5,1,10,5.806477359151067,0.050492999999999996,0.039099999999999996
0,1,10,5.656287198127324,0.1130489797979798,0.0887
-5,1,10,5.500590796259173,0.13255320740823867,0.1038
5,0,30,16.76885781783774,0.5298408071384431,0.5328
0,0,30,16.58523159193578,0.5262604689713586,0.525
