rep_id,beta,syn_id,cam_id,arena_id,mean_trt,var_trt,low_diet,high_diet,assemble_date,date_start,time_start,cat_pre_wt,date_end_camera,time_end_camera,cat_post_wt,cat_dead_cam_end,pupation_date,pupal_weight,pupated_cam_end,eclosure_date,sex,death_date,deformed_adult,notes,temperature,session_id,error,premature_camera_end,camera_cutoff,surv_time,RGR,pupated,eclosed,time_to_pupation,time_to_eclosure,adult_time,pupation_time,repID,area_herb,var_toxic_12,shape_1,scale_1,shape_2,scale_2,shape_3,scale_3,shape_4,scale_4,kappa1_1,kappa2_1,kappa1_2,kappa2_2,kappa1_3,kappa2_3,kappa1_4,kappa2_4,on_toxic,sl_mean_obs,ta_mean_obs,sl_kurt_obs,ta_kurt_obs,prop_explore,s1.less_toxic_end.est,s2.less_toxic_end.est,s1.less_toxic_end.se,s2.less_toxic_end.se,mean_toxic_conc,observed_dead
21,0,beta0_id5,21,21,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0036,2023-11-25T05:00:00Z,14:12:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,NA,20,1,0,0,305637,4,NA,0,0,NA,NA,NA,NA,rep21,1179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686598812553011,1
22,5,beta5_id3,22,22,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0021,2023-11-26T05:00:00Z,11:49:00,0.0123,0,NA,NA,0,NA,NA,2023-11-27T05:00:00Z,0,NA,20,1,0,0,411967,6,0.015328763558164427,0,0,NA,NA,NA,NA,rep22,13364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2403472014366956,1
23,5,beta5_id1,23,23,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0029,2023-11-26T05:00:00Z,11:49:00,0.0068,0,2023-12-09T05:00:00Z,0.2526,0,2023-12-28T05:00:00Z,male,2024-01-07T05:00:00Z,0,NA,20,1,0,0,411969,47,0.007390188251391526,1,1,18,37,10,19,rep23,3673,0.4612302584441827,3.682499958265947,19.210509515592747,1.3519744197352033,5.219773281685352,2.473264235781655,34.66807623513671,1.8830550042823329,4.6107834630317,-0.3118018700264631,1.0723659883846606,0.4725236632426967,-0.02155165862701208,-0.17865865396674974,0.547857359703612,0.2938253321551643,0.20451641942248208,0.5852417302798982,22.24633641904403,-0.2240609826153616,107.13777769821242,1.6354619975190068,0.19461097599927035,-0.21343197072767708,-0.25443254131157866,0.3672192742432841,0.28724248357830423,1.48761230601688,1
24,0,beta0_id8,24,24,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0057,2023-11-26T05:00:00Z,11:49:00,0.0283,0,2023-12-09T05:00:00Z,0.2268,0,NA,NA,2024-01-07T05:00:00Z,0,failed pupation,20,1,0,0,413774,18,0.013895611763046864,1,0,18,NA,NA,NA,rep24,3652,0.4580913996851408,0.6302521017163993,182.60451635365104,1.5825438907713387,4.398888819611748,0.5389294447027857,205.84376991544912,1.345734723897982,6.174901747679308,-0.02665842548241004,0.2873278657896325,0.6164235181725757,0.27347761262397763,-0.541417180358209,0.04143151086935898,0.4249420021691902,0.2267922002706108,0.4602076124567474,29.447909480199723,-0.01155788490675957,48.543162220460566,1.4910690405947509,0.16547074634188608,-0.06178625173325341,0.09088808273553271,0.2562439217963262,0.30017071611182544,0.36856516976998904,0
25,const,NA,25,25,0 mg/g,constant,0 mg/g,0 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0042,2023-11-25T05:00:00Z,14:12:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,NA,20,1,0,0,113174,4,NA,0,0,NA,NA,NA,NA,rep25,9141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
26,const,NA,26,26,0.5 mg/g,constant,0.5 mg/g,0.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0096,2023-11-26T05:00:00Z,11:49:00,0.0046,0,NA,NA,0,NA,NA,2023-11-27T05:00:00Z,0,has mold growing on its body,20,1,0,0,411596,6,-0.006379882598457071,0,0,NA,NA,NA,NA,rep26,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1
27,const,NA,27,27,1 mg/g,constant,1 mg/g,1 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0099,2023-11-25T05:00:00Z,14:12:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,NA,20,1,0,0,282207,4,NA,0,0,NA,NA,NA,NA,rep27,1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
28,const,NA,28,28,1 mg/g,constant,1 mg/g,1 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0108,2023-11-26T05:00:00Z,11:49:00,0.0337,0,2023-12-08T05:00:00Z,0.2667,0,2023-12-26T05:00:00Z,male,2024-01-07T05:00:00Z,0,NA,20,1,0,0,413762,47,0.009868059285111797,1,1,17,35,12,18,rep28,3085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
29,const,NA,29,29,1.5 mg/g,constant,1.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0116,2023-11-26T05:00:00Z,11:49:00,0.0468,0,2023-12-06T05:00:00Z,0.2083,0,2023-12-24T05:00:00Z,male,2024-01-07T05:00:00Z,0,NA,20,1,0,0,413771,47,0.012096066814377358,1,1,15,33,14,18,rep29,2875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1
30,const,NA,30,30,2 mg/g,constant,2 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0099,2023-11-25T05:00:00Z,15:02:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,NA,20,1,0,0,107769,4,NA,0,0,NA,NA,NA,NA,rep30,7434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
