var,target,only,cat_size,exclude,val
var_high,select_scale,NA,2,NA,1.0718460163733199
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.1475915
area_herb_log_scale,RGR_scale,NA,-2,NA,1.075458
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.08185641
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.04089803190461265
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.1475915
area_herb_log_scale,RGR_scale,NA,2,NA,0.3770008
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.08185641
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.04089803190461265
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.03896711665987599
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.06371490511712927
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,0
var_high,RGR_scale,area_herb_log_scale,-2,NA,1.1590655982776
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,-0.007414756403087341
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.12021157565848017
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.0010960329659280097
var_high,RGR_scale,select_scale,-2,NA,0.025316614429822817
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,-0.012443420539693328
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,-0.019585146347057786
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0
var_high,RGR_scale,area_herb_log_scale,2,NA,-0.07838047517248
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.038027414628030956
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.49658560686155934
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.005621128702755577
var_high,RGR_scale,select_scale,2,NA,-0.03560668625198502
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,0.2571418169787923
var_high,sl_mean_obs_log_scale,NA,-2,NA,-0.42045108478144483
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,0
var_high,area_herb_log_scale,NA,-2,NA,1.4368184
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,0.029921496983892064
var_high,mean_toxic_conc_scale,NA,-2,NA,-0.4851016139918573
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.08103784980146628
var_high,var_toxic_12_scale,NA,-2,NA,1.5238254840125782
beta_numeric_scale,select_scale,NA,-2,NA,-0.04318584246706
var_high,select_scale,NA,-2,NA,-0.9975241224974599
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,0.08211343412797811
var_high,sl_mean_obs_log_scale,NA,2,NA,0.12924128211579156
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0
var_high,area_herb_log_scale,NA,2,NA,-0.2857256
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.15345577254892298
var_high,mean_toxic_conc_scale,NA,2,NA,-2.0039208208870587
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.23201629747990665
var_high,var_toxic_12_scale,NA,2,NA,1.4680833890831577
beta_numeric_scale,select_scale,NA,2,NA,0.22148346463168
var_high,select_scale,NA,2,NA,1.4029730775025402
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.1515394
area_herb_log_scale,RGR_scale,NA,-2,NA,0.806689
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.247807
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.02537945084118734
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.1515394
area_herb_log_scale,RGR_scale,NA,2,NA,0.2743208
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.247807
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.02537945084118734
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.05644182188935326
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.03492742336544771
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,0
var_high,RGR_scale,area_herb_log_scale,-2,NA,1.53714767056708
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,-0.0036758065273172075
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.06107162608070136
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.009157920902241688
var_high,RGR_scale,select_scale,-2,NA,0.00533780721041649
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,-0.01622083330168238
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,-0.07432191125445593
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0
var_high,RGR_scale,area_herb_log_scale,2,NA,-0.13400236046872
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.006349991725495768
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.1566956860660338
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.01582039792350614
var_high,RGR_scale,select_scale,2,NA,-0.10081785729105573
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,0.20404070664836454
var_high,sl_mean_obs_log_scale,NA,-2,NA,-0.12626481403919487
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,0
var_high,area_herb_log_scale,NA,-2,NA,1.8920876
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,0.03904414278159131
var_high,mean_toxic_conc_scale,NA,-2,NA,-0.6486982573425001
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.12708525347630711
var_high,var_toxic_12_scale,NA,-2,NA,1.6341217108839874
beta_numeric_scale,select_scale,NA,-2,NA,-0.12308844994146001
var_high,select_scale,NA,-2,NA,-0.07174362201094
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,0.05863932414848065
var_high,sl_mean_obs_log_scale,NA,2,NA,0.26867834496102216
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0
var_high,area_herb_log_scale,NA,2,NA,-0.9634088
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.06744913850869409
var_high,mean_toxic_conc_scale,NA,2,NA,-1.6644098906062113
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.15620193275945443
var_high,var_toxic_12_scale,NA,2,NA,1.3869606167900326
beta_numeric_scale,select_scale,NA,2,NA,0.21263650108452
