var,only,cat_size,exclude,val
beta_white,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_red,NA,2,NA,0.18849084954569162
beta_white,NA,2,NA,0.15635654999999998
var_high,NA,2,NA,0.4892717013736313
beta_red,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.29204953368575737
beta_white,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.16219719909928257
beta_red,area_herb_log_scale,-2,ava_mean_toxin_scale,-0.0799887584930534
beta_white,area_herb_log_scale,-2,ava_mean_toxin_scale,0.12079095
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.04442380860283128
beta_red,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.0626296045766587
beta_white,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.035565599999999996
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.10991422175896899
beta_red,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_white,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_red,NA,-2,ava_mean_toxin_scale,-0.30940868760215207
beta_white,NA,-2,ava_mean_toxin_scale,0.15635654999999998
var_high,NA,-2,ava_mean_toxin_scale,0.31653522946108287
beta_red,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,0.04913788766899044
beta_white,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,0
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,0.15299432578468258
beta_red,area_herb_log_scale,2,ava_mean_toxin_scale,0.013458260247875699
beta_white,area_herb_log_scale,2,ava_mean_toxin_scale,0.12079095
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,0.04190325531957979
beta_red,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.12589470162882554
beta_white,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.035565599999999996
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.294374120269369
beta_red,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_white,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_red,NA,2,ava_mean_toxin_scale,0.18849084954569162
beta_white,NA,2,ava_mean_toxin_scale,0.15635654999999998
var_high,NA,2,ava_mean_toxin_scale,0.4892717013736313
beta_red,sl_mean_obs_log_scale,-2,NA,-0.11396896423660506
beta_white,sl_mean_obs_log_scale,-2,NA,0
var_high,sl_mean_obs_log_scale,-2,NA,0.11653695620506548
beta_red,area_herb_log_scale,-2,NA,-0.0628538057749152
beta_white,area_herb_log_scale,-2,NA,0.14398228000000002
var_high,area_herb_log_scale,-2,NA,0.06427005158796009
beta_red,mean_toxic_conc_scale,-2,NA,0.050362426582687574
beta_white,mean_toxic_conc_scale,-2,NA,0.017883169999999997
var_high,mean_toxic_conc_scale,-2,NA,0.09514836755960263
beta_red,var_toxic_12_scale,-2,NA,0
beta_white,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_red,NA,-2,NA,-0.12646034342883267
beta_white,NA,-2,NA,0.16186545000000002
var_high,NA,-2,NA,0.27595537535262815
beta_red,sl_mean_obs_log_scale,2,NA,0.10708603344960288
beta_white,sl_mean_obs_log_scale,2,NA,0
var_high,sl_mean_obs_log_scale,2,NA,0.09819403822011347
beta_red,area_herb_log_scale,2,NA,0.059057874156634604
beta_white,area_herb_log_scale,2,NA,0.14398228000000002
var_high,area_herb_log_scale,2,NA,0.05415394487334742
beta_red,mean_toxic_conc_scale,2,NA,0.10435131542062459
beta_white,mean_toxic_conc_scale,2,NA,0.017883169999999997
var_high,mean_toxic_conc_scale,2,NA,0.17596072994520182
beta_red,var_toxic_12_scale,2,NA,0
beta_white,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_red,NA,2,NA,0.2704952230268621
beta_white,NA,2,NA,0.16186545000000002
var_high,NA,2,NA,0.32830871303866266
beta_red,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.11396896423660506
beta_white,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.11653695620506548
beta_red,area_herb_log_scale,-2,ava_mean_toxin_scale,-0.0628538057749152
beta_white,area_herb_log_scale,-2,ava_mean_toxin_scale,0.14398228000000002
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.06427005158796009
beta_red,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.050362426582687574
beta_white,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.017883169999999997
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.09514836755960263
beta_red,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_white,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_red,NA,-2,ava_mean_toxin_scale,-0.12646034342883267
