rss,k,period,rss_true,k_true,scenario_id
1.339373547993144,0.8334048547311917,3,1.0986122886681098,1,4
0.10303116469156592,3.407400362684691,1,0,3,1
1.1900710326298898,1.1000441072604077,1,1.0986122886681098,1,3
0.4512718298814173,1.809799117674004,3,0,3,2
1.3777141265754382,0.7550619482156643,3,1.0986122886681098,1,4
-0.0421087563040145,2.850914359024021,1,0,3,1
0.36730992013357855,1.5880585281708233,3,0,3,2
1.0645451704422617,0.9479064931278384,1,1.0986122886681098,1,3
1.234496313100966,1.0342410979878818,3,1.0986122886681098,1,4
-0.007081984557903106,3.047355657820963,1,0,3,1
0.3170115084169911,1.63077943409161,3,0,3,2
1.1701469264478828,1.028501860295529,1,1.0986122886681098,1,3
1.3820810312051337,0.8981182102622326,3,1.0986122886681098,1,4
-0.051160449413102674,3.0962792564143093,1,0,3,1
1.2265035724840143,0.9720759788867119,1,1.0986122886681098,1,3
0.3554776761392081,1.8023097908354178,3,0,3,2
1.4034431433778782,0.9742529047445738,3,1.0986122886681098,1,4
-0.030707998957460538,2.9946765691764994,1,0,3,1
1.079853264347964,0.823695819274441,1,1.0986122886681098,1,3
0.47103412458517835,1.5494156282317055,3,0,3,2
1.3615367118549653,1.058328492944618,3,1.0986122886681098,1,4
-0.030239619175440005,3.385585509020012,1,0,3,1
0.3841637948732297,1.6694816207759164,3,0,3,2
1.1596670493456764,0.8460533780383802,1,1.0986122886681098,1,3
1.2335428426356398,0.8838429685354848,3,1.0986122886681098,1,4
-0.06071057512107717,3.027063244821007,1,0,3,1
1.123450096726321,1.1063365530800746,1,1.0986122886681098,1,3
0.40093815828185253,1.4797974693082268,3,0,3,2
1.2896079273708434,1.0281154361165676,3,1.0986122886681098,1,4
0.0640012281581757,2.9169592430216342,1,0,3,1
1.1576803592074296,1.0327077944638472,1,1.0986122886681098,1,3
0.3845483660238177,1.509078852434112,3,0,3,2
1.4925190581247278,0.9184704143082006,3,1.0986122886681098,1,4
0.06290778011546304,2.959708401418154,1,0,3,1
1.1433598273304681,1.015444943055793,1,1.0986122886681098,1,3
0.5164520472411513,1.6569229910460015,3,0,3,2
1.4241591317932645,1.1437301398512874,3,1.0986122886681098,1,4
0.4336524732923613,1.8064766266381402,3,0,3,2
1.0465306823422853,0.9887631705053027,1,1.0986122886681098,1,3
-0.028552832343235877,2.755882677670389,1,0,3,1
1.3220734097041833,1.0172265358859314,3,1.0986122886681098,1,4
1.1144051674324384,1.036980566963449,1,1.0986122886681098,1,3
0.051203146252743074,2.836258630035993,1,0,3,1
1.2734293913116663,1.0842349894682994,3,1.0986122886681098,1,4
0.4195940181176181,1.5358461985506962,3,0,3,2
0.06567688413522856,3.1872724415614715,1,0,3,1
1.0186412878160496,1.0887885369356993,1,1.0986122886681098,1,3
0.3553636456989178,1.574181483327639,3,0,3,2
1.2372737572160448,0.8716002991230924,3,1.0986122886681098,1,4
-0.0037058691958385356,2.7346069859344224,1,0,3,1
1.0356719308984472,1.0184828991684167,1,1.0986122886681098,1,3
1.3614040664914882,1.1036908560859524,3,1.0986122886681098,1,4
0.5007851220622208,1.6772789147407052,3,0,3,2
0.2862320209524482,1.495152738494014,3,0,3,2
1.235295590945628,1.122034426390634,3,1.0986122886681098,1,4
0.04096457451281966,3.0643480977632476,1,0,3,1
1.1080187271418231,1.105826717232091,1,1.0986122886681098,1,3
0.06568077412732976,2.9705457217514186,1,0,3,1
1.1165655736400462,0.8827708802716915,1,1.0986122886681098,1,3
0.37606434473903594,1.838039878750739,3,0,3,2
1.3561717228741874,0.9345312023219843,3,1.0986122886681098,1,4
1.079539718933241,0.905365798078328,1,1.0986122886681098,1,3
-0.010048116042448183,3.485633785523092,1,0,3,1
