b,rss,scale,k,on_toxic,r,ava_toxic
0,0.2876818224517498,8.3333,5,9.99000999000999e-4,1.2755020478907078,2.7e-4
5,-0.2876820724517809,25,5,0.04395604395604396,4.981165711886411,0.04616
-5,-0.2876820724517809,25,5,0.11988011988011987,5.460910264436597,0.11423686868686868
0,-0.2876820724517809,25,5,0.24175824175824176,7.313789989256526,0.21600394991808525
5,0,25,5,0.3026973026973027,8.951035002540122,0.29647
0,0,25,5,0.05194805194805195,4.863248798431051,0.04956999999999999
-5,0,25,5,0.08591408591408592,5.552448861541103,0.08533
5,0.2876818224517498,25,5,0.37462537462537465,9.601099595689073,0.37896565656565656
0,0.2876818224517498,25,5,0.07692307692307693,5.138904164316799,0.08024
-5,0.2876818224517498,25,5,0.04995004995004995,4.79049766760947,0.05531
5,-0.2876820724517809,83.333,5,0.22877122877122877,24.706929478572302,0.21178900576904103
0,-0.2876820724517809,83.333,5,0.1978021978021978,20.82337221666845,0.1701327536736397
-5,-0.2876820724517809,83.333,5,0.2007992007992008,22.197165630505857,0.17951269010422957
5,0,83.333,5,0.08391608391608392,15.726399377278788,0.08196756175146074
-5,0,83.333,5,0.1958041958041958,19.379421645784447,0.18961921593562547
0,0,83.333,5,0.15984015984015984,21.26048569438692,0.1544400594028781
5,0.2876818224517498,83.333,5,0.12287712287712288,17.66867803346877,0.13079542758854168
0,0.2876818224517498,83.333,5,0.14485514485514486,20.457776001086273,0.159028336182978
-5,0.2876818224517498,83.333,5,0.14485514485514486,20.33002242406215,0.18144977990596783
5,-0.2876820724517809,8.3333,0.2,0.989010989010989,7.026241553010937,0.9737792625630384
0,-0.2876820724517809,8.3333,0.2,0.9790209790209792,7.625404541273705,0.97551
-5,-0.2876820724517809,8.3333,0.2,0.939060939060939,8.050536552181601,0.922690953985924
0,0,8.3333,0.2,0.8751248751248751,10.250536511662204,0.87781
5,0,8.3333,0.2,0.906093906093906,9.605746089605631,0.9089074594018918
-5,0,8.3333,0.2,0.8731268731268731,9.96677421541201,0.8640778561601477
5,0.2876818224517498,8.3333,0.2,0.7682317682317682,12.673381768577896,0.7826297141473073
0,0.2876818224517498,8.3333,0.2,0.7782217782217782,12.5837094966427,0.7949195994999313
-5,0.2876818224517498,8.3333,0.2,0.7682317682317682,11.763488509707193,0.791704913928308
0,-0.2876820724517809,25,0.2,0.8621378621378621,28.87077489505535,0.8300651717497315
5,-0.2876820724517809,25,0.2,0.949050949050949,21.14122122168182,0.9394955143522372
-5,-0.2876820724517809,25,0.2,0.8701298701298701,27.447999390232333,0.8416635700479659
0,0,25,0.2,0.8501498501498501,28.82786814871973,0.8560315740984733
-5,0,25,0.2,0.7962037962037962,34.36199165355673,0.7837226960295969
5,0,25,0.2,0.8521478521478522,29.614579338599523,0.8444523095993006
5,0.2876818224517498,25,0.2,0.8761238761238761,25.9894348002251,0.8733473809097608
0,0.2876818224517498,25,0.2,0.6403596403596403,42.68478413973674,0.6853123106440757
-5,0.2876818224517498,25,0.2,0.6883116883116883,37.77942663822878,0.7278470115188784
5,-0.2876820724517809,83.333,0.2,0.8171828171828172,80.26630356474196,0.7640671443885456
0,-0.2876820724517809,83.333,0.2,0.6863136863136863,94.9708799975442,0.6264813018250049
0,0,83.333,0.2,0.6633366633366633,106.60678173511629,0.6488289529506887
-5,-0.2876820724517809,83.333,0.2,0.7202797202797203,88.23557799965779,0.6501920941954532
5,0,83.333,0.2,0.8711288711288712,76.1999552110087,0.8603313254059971
-5,0,83.333,0.2,0.5974025974025974,112.04398520877972,0.5923757491652138
0,0.2876818224517498,83.333,0.2,0.5274725274725275,117.00657908156288,0.6000708018868777
5,0.2876818224517498,83.333,0.2,0.7642357642357642,87.71524347448221,0.7901026621652488
5,0,8.3333,1,0.7082917082917083,6.6831782418549635,0.70703
-5,0.2876818224517498,83.333,0.2,0.4875124875124875,119.6963735054989,0.5463591803673455
-5,-0.2876820724517809,8.3333,1,0.6083916083916084,6.557182128045021,0.58343
5,0.2876818224517498,8.3333,1,0.7042957042957043,6.779516816499321,0.71173
5,-0.2876820724517809,8.3333,1,0.04995004995004995,7.039642265313955,0.05404
0,0.2876818224517498,8.3333,1,0.2037962037962038,6.275385587618148,0.21081
0,-0.2876820724517809,8.3333,1,0.8431568431568431,6.4927390515853,0.83401
-5,0.2876818224517498,8.3333,1,0.3966033966033966,6.5850714879003744,0.40297859390895063
0,0,8.3333,1,0.6753246753246753,6.584600910844857,0.668844813885626
-5,0,8.3333,1,0.6483516483516484,6.316451168750825,0.6449298989898989
5,-0.2876820724517809,25,1,0.23876123876123875,20.457651532389825,0.2466911553334901
-5,-0.2876820724517809,25,1,0.6673326673326674,18.742489779211425,0.619724173392575
5,0,25,1,0.23776223776223776,18.160398373423504,0.24160486856962848
0,0,25,1,0.5494505494505495,19.379738355134304,0.5544890613752776
-5,0,25,1,0.6433566433566433,18.67222256538915,0.6387109030081413
0,-0.2876820724517809,25,1,0.5914085914085914,19.994042557291344,0.5751967680040971
5,0.2876818224517498,25,1,0.35664335664335667,18.01093580628731,0.36784468287733607
0,0.2876818224517498,25,1,0.4145854145854146,18.655423730177468,0.4423011716623986
-5,0.2876818224517498,25,1,0.48451548451548454,20.002948396026564,0.4979658346781512
5,-0.2876820724517809,83.333,1,0.6243756243756243,55.242105786323,0.5848255342823994
0,-0.2876820724517809,83.333,1,0.5914085914085914,58.730937890451806,0.5468553220862908
0,0,83.333,1,0.5134865134865135,62.2360635926875,0.4970248613951615
-5,-0.2876820724517809,83.333,1,0.6083916083916084,56.584596999638904,0.5542646875051302
5,0,83.333,1,0.5634365634365635,61.84023618281781,0.5559994848006136
-5,0,83.333,1,0.48151848151848153,57.33295990001903,0.4873892195692947
5,0.2876818224517498,83.333,1,0.36163836163836166,58.34072074757533,0.400794270558646
0,0.2876818224517498,83.333,1,0.4205794205794206,60.41665788065337,0.46994420093820033
-5,0.2876818224517498,83.333,1,0.3876123876123876,57.27714044669923,0.4348360314282684
5,-0.2876820724517809,8.3333,5,0.00199800199800199,1.3284908764426548,0.00138
-5,-0.2876820724517809,8.3333,5,0.1998001998001998,2.3716683357739106,0.19669
0,-0.2876820724517809,8.3333,5,0.07392607392607392,1.8512701478734013,0.06633
5,0,8.3333,5,0.00499500499500499,1.3499242815592594,0.00484
0,0,8.3333,5,0.02397602397602397,1.5410356677984829,0.02677
-5,0,8.3333,5,0.05794205794205794,1.7467755261516484,0.06031
5,0.2876818224517498,8.3333,5,9.99000999000999e-4,1.2867217999198175,0
0,0.2876818224517498,8.3333,5,0.00899100899100899,1.346446138218803,0.01552
-5,0.2876818224517498,8.3333,5,0.00199800199800199,1.35113450714469,0.0044
5,-0.2876820724517809,25,5,0.12687312687312688,6.07515984539025,0.12078
